Project Short Code,Species Code,Species Name,Commercial Species Group,Gear Code,Gear Description,Gear Group,Commercial Data Viewer,CPFV Species Group,CPFV Data Viewer
Statewide_SocEco,0,No Name Provided,OTHER-misc,0,UNKNOWN,MISC,No,OTHER-misc,No
Statewide_SocEco,0,No Name Provided,OTHER-misc,1,HOOK & LINE,HOOK-LINE,No,OTHER-misc,No
Statewide_SocEco,0,No Name Provided,OTHER-misc,3,Vertical Hook & Line/Portuguese Longline,HOOK-LINE,No,OTHER-misc,No
Statewide_SocEco,0,No Name Provided,OTHER-misc,5,SET LONGLINE,LONGLINE,No,OTHER-misc,No
Statewide_SocEco,0,No Name Provided,OTHER-misc,6,JIG/BAIT (ALBACORE),HOOK-LINE,No,OTHER-misc,No
Statewide_SocEco,0,No Name Provided,OTHER-misc,7,TROLL (ALBACORE),TROLL,No,OTHER-misc,No
Statewide_SocEco,0,No Name Provided,OTHER-misc,9,TROLL (SALMON),TROLL,No,OTHER-misc,No
Statewide_SocEco,0,No Name Provided,OTHER-misc,18,DIVING,DIVING,No,OTHER-misc,No
Statewide_SocEco,0,No Name Provided,OTHER-misc,20,ENTRAPPING,TRAP,No,OTHER-misc,No
Statewide_SocEco,0,No Name Provided,OTHER-misc,21,FISH TRAP,TRAP,No,OTHER-misc,No
Statewide_SocEco,0,No Name Provided,OTHER-misc,27,CRAB OR LOBSTER TRAP,TRAP,No,OTHER-misc,No
Statewide_SocEco,0,No Name Provided,OTHER-misc,40,BRAIL/DIP NET OR A-FRAME,BRAIL/DIP NET,No,OTHER-misc,No
Statewide_SocEco,0,No Name Provided,OTHER-misc,54,MIDWATER TRAWL,MIDWATER TRAWL,No,OTHER-misc,No
Statewide_SocEco,0,No Name Provided,OTHER-misc,56,BOTTOM TRAWL,BOTTOM TRAWL,No,OTHER-misc,No
Statewide_SocEco,0,No Name Provided,OTHER-misc,58,SINGLE-RIGGED TRAWL,BOTTOM TRAWL,No,OTHER-misc,No
Statewide_SocEco,0,No Name Provided,OTHER-misc,59,DOUBLE-RIGGED TRAWL,BOTTOM TRAWL,No,OTHER-misc,No
Statewide_SocEco,0,No Name Provided,OTHER-misc,65,DRIFT GILL NET,GILL NET,No,OTHER-misc,No
Statewide_SocEco,0,No Name Provided,OTHER-misc,66,SET GILL NET,GILL NET,No,OTHER-misc,No
Statewide_SocEco,0,No Name Provided,OTHER-misc,71,PURSE SEINE,SEINE/NET,No,OTHER-misc,No
Statewide_SocEco,0,No Name Provided,OTHER-misc,73,DRUM SEINE,SEINE/NET,No,OTHER-misc,No
Statewide_SocEco,0,No Name Provided,OTHER-misc,74,LAMPARA NET,SEINE/NET,No,OTHER-misc,No
Statewide_SocEco,1,YELLOWFIN TUNA,OTHER OFFSHORE PELAGICS,0,UNKNOWN,MISC,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,1,YELLOWFIN TUNA,OTHER OFFSHORE PELAGICS,1,HOOK & LINE,HOOK-LINE,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,1,YELLOWFIN TUNA,OTHER OFFSHORE PELAGICS,2,LIVE BAIT,HOOK-LINE,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,1,YELLOWFIN TUNA,OTHER OFFSHORE PELAGICS,3,Vertical Hook & Line/Portuguese Longline,HOOK-LINE,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,1,YELLOWFIN TUNA,OTHER OFFSHORE PELAGICS,4,MOOCHING (SALMON),HOOK-LINE,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,1,YELLOWFIN TUNA,OTHER OFFSHORE PELAGICS,5,SET LONGLINE,LONGLINE,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,1,YELLOWFIN TUNA,OTHER OFFSHORE PELAGICS,6,JIG/BAIT (ALBACORE),HOOK-LINE,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,1,YELLOWFIN TUNA,OTHER OFFSHORE PELAGICS,7,TROLL (ALBACORE),TROLL,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,1,YELLOWFIN TUNA,OTHER OFFSHORE PELAGICS,8,TROLL (GROUNDFISH OR OTHER FISH),TROLL,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,1,YELLOWFIN TUNA,OTHER OFFSHORE PELAGICS,9,TROLL (SALMON),TROLL,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,1,YELLOWFIN TUNA,OTHER OFFSHORE PELAGICS,18,DIVING,DIVING,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,1,YELLOWFIN TUNA,OTHER OFFSHORE PELAGICS,20,ENTRAPPING,TRAP,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,1,YELLOWFIN TUNA,OTHER OFFSHORE PELAGICS,21,FISH TRAP,TRAP,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,1,YELLOWFIN TUNA,OTHER OFFSHORE PELAGICS,22,PRAWN TRAP,TRAP,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,1,YELLOWFIN TUNA,OTHER OFFSHORE PELAGICS,27,CRAB OR LOBSTER TRAP,TRAP,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,1,YELLOWFIN TUNA,OTHER OFFSHORE PELAGICS,40,BRAIL/DIP NET OR A-FRAME,BRAIL/DIP NET,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,1,YELLOWFIN TUNA,OTHER OFFSHORE PELAGICS,48,TRAWL-Footrope less than 8 in. in diameter,BOTTOM TRAWL,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,1,YELLOWFIN TUNA,OTHER OFFSHORE PELAGICS,49,TRAWL-Footrope greater than 8 in. in diameter,BOTTOM TRAWL,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,1,YELLOWFIN TUNA,OTHER OFFSHORE PELAGICS,56,BOTTOM TRAWL,BOTTOM TRAWL,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,1,YELLOWFIN TUNA,OTHER OFFSHORE PELAGICS,58,SINGLE-RIGGED TRAWL,BOTTOM TRAWL,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,1,YELLOWFIN TUNA,OTHER OFFSHORE PELAGICS,65,DRIFT GILL NET,GILL NET,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,1,YELLOWFIN TUNA,OTHER OFFSHORE PELAGICS,66,SET GILL NET,GILL NET,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,1,YELLOWFIN TUNA,OTHER OFFSHORE PELAGICS,71,PURSE SEINE,SEINE/NET,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,1,YELLOWFIN TUNA,OTHER OFFSHORE PELAGICS,73,DRUM SEINE,SEINE/NET,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,2,SKIPJACK TUNA,OTHER OFFSHORE PELAGICS,0,UNKNOWN,MISC,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,2,SKIPJACK TUNA,OTHER OFFSHORE PELAGICS,1,HOOK & LINE,HOOK-LINE,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,2,SKIPJACK TUNA,OTHER OFFSHORE PELAGICS,3,Vertical Hook & Line/Portuguese Longline,HOOK-LINE,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,2,SKIPJACK TUNA,OTHER OFFSHORE PELAGICS,4,MOOCHING (SALMON),HOOK-LINE,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,2,SKIPJACK TUNA,OTHER OFFSHORE PELAGICS,5,SET LONGLINE,LONGLINE,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,2,SKIPJACK TUNA,OTHER OFFSHORE PELAGICS,6,JIG/BAIT (ALBACORE),HOOK-LINE,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,2,SKIPJACK TUNA,OTHER OFFSHORE PELAGICS,7,TROLL (ALBACORE),TROLL,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,2,SKIPJACK TUNA,OTHER OFFSHORE PELAGICS,8,TROLL (GROUNDFISH OR OTHER FISH),TROLL,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,2,SKIPJACK TUNA,OTHER OFFSHORE PELAGICS,9,TROLL (SALMON),TROLL,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,2,SKIPJACK TUNA,OTHER OFFSHORE PELAGICS,18,DIVING,DIVING,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,2,SKIPJACK TUNA,OTHER OFFSHORE PELAGICS,21,FISH TRAP,TRAP,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,2,SKIPJACK TUNA,OTHER OFFSHORE PELAGICS,56,BOTTOM TRAWL,BOTTOM TRAWL,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,2,SKIPJACK TUNA,OTHER OFFSHORE PELAGICS,58,SINGLE-RIGGED TRAWL,BOTTOM TRAWL,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,2,SKIPJACK TUNA,OTHER OFFSHORE PELAGICS,65,DRIFT GILL NET,GILL NET,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,2,SKIPJACK TUNA,OTHER OFFSHORE PELAGICS,66,SET GILL NET,GILL NET,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,2,SKIPJACK TUNA,OTHER OFFSHORE PELAGICS,71,PURSE SEINE,SEINE/NET,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,2,SKIPJACK TUNA,OTHER OFFSHORE PELAGICS,73,DRUM SEINE,SEINE/NET,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,2,SKIPJACK TUNA,OTHER OFFSHORE PELAGICS,74,LAMPARA NET,SEINE/NET,No,OTHER OFFSHORE PELAGICS,No
Statewide_SocEco,3,PACIFIC BONITO,PACIFIC BONITO,0,UNKNOWN,MISC,No,COASTAL MIGRATORY,YES
Statewide_SocEco,3,PACIFIC BONITO,PACIFIC BONITO,1,HOOK & LINE,HOOK-LINE,No,COASTAL MIGRATORY,YES
Statewide_SocEco,3,PACIFIC BONITO,PACIFIC BONITO,3,Vertical Hook & Line/Portuguese Longline,HOOK-LINE,No,COASTAL MIGRATORY,YES
Statewide_SocEco,3,PACIFIC BONITO,PACIFIC BONITO,4,MOOCHING (SALMON),HOOK-LINE,No,COASTAL MIGRATORY,YES
Statewide_SocEco,3,PACIFIC BONITO,PACIFIC BONITO,5,SET LONGLINE,LONGLINE,No,COASTAL MIGRATORY,YES
Statewide_SocEco,3,PACIFIC BONITO,PACIFIC BONITO,6,JIG/BAIT (ALBACORE),HOOK-LINE,No,COASTAL MIGRATORY,YES
Statewide_SocEco,3,PACIFIC BONITO,PACIFIC BONITO,7,TROLL (ALBACORE),TROLL,No,COASTAL MIGRATORY,YES
Statewide_SocEco,3,PACIFIC BONITO,PACIFIC BONITO,8,TROLL (GROUNDFISH OR OTHER FISH),TROLL,No,COASTAL MIGRATORY,YES
Statewide_SocEco,3,PACIFIC BONITO,PACIFIC BONITO,9,TROLL (SALMON),TROLL,No,COASTAL MIGRATORY,YES
