Project short code,Port name,Lat,Long,Port group,California Region,Port code
Statwide_SocEco,ALBION,39.2235117,-123.7686251,ALBION,North Coast,211
Statwide_SocEco,AVILA-PORT SAN LUIS,35.1749752,-120.7551762,AVILA-PORT SAN LUIS,SCentral Coast,602
Statwide_SocEco,OCEANO,35.10268,-120.611471,AVILA-PORT SAN LUIS,SCentral Coast,607
Statwide_SocEco,INVERNESS,38.1010337,-122.8569377,BODEGA BAY AREA PORTS,North Central Coast,474
Statwide_SocEco,MARCONI COVE,38.1438103,-122.8783278,BODEGA BAY AREA PORTS,North Central Coast,488
Statwide_SocEco,MARSHALL,38.1604766,-122.8941619,BODEGA BAY AREA PORTS,North Central Coast,462
Statwide_SocEco,TOMALES BAY,38.169643,-122.909996,BODEGA BAY AREA PORTS,North Central Coast,477
Statwide_SocEco,DILLON BEACH,38.2507515,-122.9652768,BODEGA BAY AREA PORTS,North Central Coast,441
Statwide_SocEco,BODEGA BAY,38.33325,-123.0480571,BODEGA BAY AREA PORTS,North Central Coast,473
Statwide_SocEco,HEALDSBURG,38.6175,122.866389,BODEGA BAY AREA PORTS,North Central Coast,435
Statwide_SocEco,JENNER,38.449722,-123.115556,BODEGA BAY AREA PORTS,North Central Coast,489
Statwide_SocEco,BOLINAS,37.9093702,-122.6863733,BOLINAS,North Central Coast,487
Statwide_SocEco,POINT REYES,38.0013176,-122.9969423,BOLINAS,North Central Coast,476
Statwide_SocEco,DRAKES BAY,38.0118711,-122.9191619,BOLINAS,North Central Coast,437
Statwide_SocEco,KLAMATH,41.5265092,-124.0384069,CRESCENT CITY AREA PORTS,North Coast,210
Statwide_SocEco,CRESCENT CITY,41.7559481,-124.2017474,CRESCENT CITY AREA PORTS,North Coast,201
Statwide_SocEco,DANA POINT,33.4669721,-117.6981075,DANA POINT,South Coast,767
Statwide_SocEco,FIELDS LANDING,40.7245711,-124.2150604,EUREKA AREA PORTS,North Coast,217
Statwide_SocEco,KING SALMON,40.7392928,-124.2186722,EUREKA AREA PORTS,North Coast,246
Statwide_SocEco,HUMBOLDT BAY,40.7498484,-124.2095057,EUREKA AREA PORTS,North Coast,219
Statwide_SocEco,EUREKA,40.8020712,-124.1636729,EUREKA AREA PORTS,North Coast,220
Statwide_SocEco,ARCATA,40.8665166,-124.0828396,EUREKA AREA PORTS,North Coast,212
Statwide_SocEco,ORICK,41.2867896,-124.0597937,EUREKA AREA PORTS,North Coast,204
Statwide_SocEco,ELK,39.1301809,-123.7177934,FORT BRAGG AREA PORTS,North Coast,222
Statwide_SocEco,LITTLE RIVER,39.2707318,-123.7883473,FORT BRAGG AREA PORTS,North Coast,227
Statwide_SocEco,FORT BRAGG,39.445723,-123.8052935,FORT BRAGG AREA PORTS,North Coast,223
Statwide_SocEco,WESTPORT,39.6357148,-123.7830734,FORT BRAGG AREA PORTS,North Coast,233
Statwide_SocEco,AVALON,33.3428065,-118.3278506,LOS ANGELES - LONG BEACH AREA PORTS,South Coast,741
Statwide_SocEco,CATALINA ISLAND,33.3833613,-118.4175764,LOS ANGELES - LONG BEACH AREA PORTS,South Coast,733
Statwide_SocEco,SAN PEDRO,33.7358518,-118.2922934,LOS ANGELES - LONG BEACH AREA PORTS,South Coast,770
Statwide_SocEco,TERMINAL ISLAND,33.756963,-118.248126,LOS ANGELES - LONG BEACH AREA PORTS,South Coast,745
Statwide_SocEco,LONG BEACH,33.7669623,-118.1892348,LOS ANGELES - LONG BEACH AREA PORTS,South Coast,743
Statwide_SocEco,WILMINGTON,33.780018,-118.2625711,LOS ANGELES - LONG BEACH AREA PORTS,South Coast,746
Statwide_SocEco,REDONDO BEACH,33.8491816,-118.3884078,LOS ANGELES - LONG BEACH AREA PORTS,South Coast,742
Statwide_SocEco,HERMOSA BEACH,33.8622367,-118.3995194,LOS ANGELES - LONG BEACH AREA PORTS,South Coast,756
Statwide_SocEco,MARINA DEL REY,33.9802893,-118.4517449,LOS ANGELES - LONG BEACH AREA PORTS,South Coast,776
Statwide_SocEco,MALIBU,34.0050079,-118.8100893,LOS ANGELES - LONG BEACH AREA PORTS,South Coast,729
Statwide_SocEco,SANTA MONICA,34.0194543,-118.4911912,LOS ANGELES - LONG BEACH AREA PORTS,South Coast,747
Statwide_SocEco,LOS ANGELES,34.0522342,-118.2436849,LOS ANGELES - LONG BEACH AREA PORTS,South Coast,744
Statwide_SocEco,HAWAIIAN GARDENS,33.828611,-118.073611,LOS ANGELES - LONG BEACH AREA PORTS,South Coast,710
Statwide_SocEco,POINT DUME,34.000872,-118.806839,LOS ANGELES - LONG BEACH AREA PORTS,South Coast,757
Statwide_SocEco,WILLOW CREEK,35.8938523,-121.4616018,MONTEREY AREA PORTS,Central Coast,517
Statwide_SocEco,MILL CREEK,35.9827389,-121.4918814,MONTEREY AREA PORTS,Central Coast,516
Statwide_SocEco,BIG CREEK,36.069962,-121.5999436,MONTEREY AREA PORTS,Central Coast,515
Statwide_SocEco,MONTEREY,36.6002378,-121.8946761,MONTEREY AREA PORTS,Central Coast,550
Statwide_SocEco,MORRO BAY,35.3658075,-120.8499013,MORRO BAY AREA PORTS,Central Coast,606
Statwide_SocEco,SAN SIMEON,35.6438587,-121.1907533,MORRO BAY AREA PORTS,Central Coast,615
Statwide_SocEco,MOSS LANDING,36.8044003,-121.7868953,MOSS LANDING,Central Coast,592
Statwide_SocEco,OCEANSIDE,33.1958696,-117.3794834,OCEANSIDE,South Coast,883
Statwide_SocEco,BALBOA,33.5869669,-117.9008907,ORANGE COUNTY PORTS,South Coast,764
Statwide_SocEco,NEWPORT BEACH,33.6189101,-117.9289469,ORANGE COUNTY PORTS,South Coast,748
Statwide_SocEco,HUNTINGTON BEACH,33.660297,-117.9992265,ORANGE COUNTY PORTS,South Coast,768
Statwide_SocEco,SEAL BEACH,33.7414065,-118.1047866,ORANGE COUNTY PORTS,South Coast,760
Statwide_SocEco,POINT ARENA,38.908798,-123.6930726,POINT ARENA,North Central Coast,213
Statwide_SocEco,PORT HUENEME,34.1477829,-119.1951074,PORT HUENEME-OXNARD,South Coast,605
Statwide_SocEco,OXNARD,34.1975048,-119.1770516,PORT HUENEME-OXNARD,South Coast,608
Statwide_SocEco,PRINCETON-HALF MOON,37.5049409,-122.4869222,PRINCETON-HALF MOON AREA PORTS,North Central Coast,452
Statwide_SocEco,PACIFICA,37.6138253,-122.4869194,PRINCETON-HALF MOON AREA PORTS,North Central Coast,439
Statwide_SocEco,IMPERIAL BEACH,32.5839444,-117.1130849,SAN DIEGO AREA PORTS,South Coast,868
Statwide_SocEco,CHULA VISTA,32.6400541,-117.0841955,SAN DIEGO AREA PORTS,South Coast,889
Statwide_SocEco,NATIONAL CITY,32.6781085,-117.0991967,SAN DIEGO AREA PORTS,South Coast,882
Statwide_SocEco,CORONADO,32.6858854,-117.1830891,SAN DIEGO AREA PORTS,South Coast,884
Statwide_SocEco,POINT LOMA,32.7000512,-117.246703,SAN DIEGO AREA PORTS,South Coast,881
Statwide_SocEco,SAN DIEGO,32.7153292,-117.1572551,SAN DIEGO AREA PORTS,South Coast,880
Statwide_SocEco,MISSION BAY,32.7792158,-117.2342029,SAN DIEGO AREA PORTS,South Coast,869
Statwide_SocEco,LA JOLLA,32.8472695,-117.274204,SAN DIEGO AREA PORTS,South Coast,888
Statwide_SocEco,ALVISO,37.426051,-121.9752373,SAN FRANCISCO AREA PORTS,North Central Coast,449
Statwide_SocEco,REDWOOD CITY,37.4852152,-122.2363548,SAN FRANCISCO AREA PORTS,North Central Coast,442
Statwide_SocEco,NEWARK,37.5296593,-122.0402399,SAN FRANCISCO AREA PORTS,North Central Coast,417
Statwide_SocEco,FREMONT,37.5482697,-121.9885719,SAN FRANCISCO AREA PORTS,North Central Coast,401
Statwide_SocEco,FOSTER CITY,37.5585465,-122.2710788,SAN FRANCISCO AREA PORTS,North Central Coast,409
Statwide_SocEco,SOUTH SAN FRANCISCO,37.654656,-122.4077498,SAN FRANCISCO AREA PORTS,North Central Coast,470
Statwide_SocEco,SAN LEANDRO,37.7249296,-122.1560768,SAN FRANCISCO AREA PORTS,North Central Coast,430
Statwide_SocEco,ALAMEDA,37.7652065,-122.2416355,SAN FRANCISCO AREA PORTS,North Central Coast,471
Statwide_SocEco,SAN FRANCISCO,37.7749295,-122.4194155,SAN FRANCISCO AREA PORTS,North Central Coast,440
Statwide_SocEco,OAKLAND,37.8043722,-122.2708026,SAN FRANCISCO AREA PORTS,North Central Coast,464
Statwide_SocEco,EMERYVILLE,37.831316,-122.2852473,SAN FRANCISCO AREA PORTS,North Central Coast,425
Statwide_SocEco,SAUSALITO,37.8590938,-122.4852507,SAN FRANCISCO AREA PORTS,North Central Coast,469
Statwide_SocEco,BERKELEY,37.8715926,-122.272747,SAN FRANCISCO AREA PORTS,North Central Coast,472
Statwide_SocEco,RICHMOND,37.9357576,-122.3477486,SAN FRANCISCO AREA PORTS,North Central Coast,478
Statwide_SocEco,SAN RAFAEL,37.9735346,-122.5310874,SAN FRANCISCO AREA PORTS,North Central Coast,468
Statwide_SocEco,CHINA CAMP,38.0007558,-122.4616407,SAN FRANCISCO AREA PORTS,North Central Coast,455
Statwide_SocEco,PINOLE,38.0043667,-122.2988587,SAN FRANCISCO AREA PORTS,North Central Coast,450
Statwide_SocEco,MARTINEZ,38.0193657,-122.1341321,SAN FRANCISCO AREA PORTS,North Central Coast,348
Statwide_SocEco,RODEO,38.0329771,-122.2669138,SAN FRANCISCO AREA PORTS,North Central Coast,451
Statwide_SocEco,CROCKETT,38.0524208,-122.2130236,SAN FRANCISCO AREA PORTS,North Central Coast,357
Statwide_SocEco,VALLEJO,38.1040864,-122.2566367,SAN FRANCISCO AREA PORTS,North Central Coast,453
Statwide_SocEco,RIO VISTA,38.1557502,-121.6913439,SAN FRANCISCO AREA PORTS,North Central Coast,351
Statwide_SocEco,PETALUMA,38.232417,-122.6366524,SAN FRANCISCO AREA PORTS,North Central Coast,459
Statwide_SocEco,DANVILLE,37.821667,-122,SAN FRANCISCO AREA PORTS,North Central Coast,304
Statwide_SocEco,YOUNTVILLE,38.403056,-122.362222,SAN FRANCISCO AREA PORTS,North Central Coast,416
Statwide_SocEco,EL SOBRANTE,37.977222,-122.295278,SAN FRANCISCO AREA PORTS,North Central Coast,422
