Year,CPI,Infl_factor
1992,130.85,1.90229971
1993,135.467,1.83746986
1994,137.158,1.8148071
1995,138.75,1.79398859
1996,144.767,1.71942839
1997,148.525,1.67591932
1998,147.317,1.68966569
1999,147.958,1.68233793
2000,154.5,1.61110626
2001,161.358,1.54262821
2002,162.133,1.53525442
2003,169.308,1.47019294
2004,181.725,1.36973953
2005,184.742,1.34737291
2006,186.558,1.33425247
2007,195.624,1.27242014
2008,204.656,1.21626791
2009,203.802,1.2213605
2010,207.673,1.19859403
2011,223.153,1.1154479
2012,231.027,1.07743292
2013,235.952,1.05494265
2014,252.991,0.98389432
2015,260.316,0.95620553
2016,247.653,1.00509785
2017,245.838,1.01251976
2018,248.916,1
